id,pedido
1,"pode me cotar 15 unidades de CONECTOR borne, 5 peças de LAMPADA LED 9w e 20 metros de cabo flexível 4"
2,gostaria de 15 unidades de lampada 15w e 2 rolos de fita eletrica 19mm
3,quero 20 unidades de abraçadeiras plastica
4,preciso de 3 peças de abraçadeira plastica
5,preciso de 2 FITA ISOLANTE 19mm
6,me vende 20 peças de CONDULETE 1/2 e 15 m de cabo 2.5
7,pode me cotar 10 unidades de condulete pvc 1/2 e 2 peças de disjuntor bipolar 20a
8,gostaria de 50 unidades de disjuntor bipolar 25a e 15 m de tubo galvanizado
9,me vende 3 fita preta transparente
10,preciso comprar 5 unidades de condulete 1/2
11,"quero 30 m de CABO FLEXIVEL 10, 20 peças de CONECTOR sindal e 5 unidades de interuptor duplo"
12,"pode me cotar 5 peças de lâmpada led 15w, 15 CONECTOR borne e 5 metros de CABO FLEXIVEL 6"
13,"pode me cotar 15 unidades de LAMPADA LED 12w, 50 peças de disjuntor bipolar 16a e 10 m de CABO FLEXIVEL 2.5"
14,"quero 3 rolos de FITA ISOLANTE 19mm, 15 m de tubo pvc galvanizado e 15 abraçadeiras metalica"
15,vou precisar de 3 peças de led 20w e 50 metros de eletroduto pvc 3/4
16,preciso de 20 disjuntor 20a
17,preciso de 10 peças de abraçadeira plastica e 10 unidades de condulete pvc 3/4
18,vou precisar de 2 peças de abraçadeira inox
19,vou precisar de 10 m de fio 10 e 20 lâmpada led 9w
20,"gostaria de 50 unidades de dijuntor 20a, 15 unidades de condulete 3/4 e 50 rolos de fita eletrica transparente"
21,quero 10 m de eletroduto galvanizado
22,me manda 10 INTERRUPTOR duplo
23,"preciso comprar 3 unidades de CONDULETE 1/2, 25 metros de CABO FLEXIVEL 10 e 20 unidades de abraçadeiras metalica"
24,preciso comprar 15 metros de tubo pvc flexivel e 20 peças de tomada industrial
25,gostaria de 20 peças de TOMADA 2p+t e 1 lampada 20w
26,gostaria de 10 peças de condulete 3/4
27,gostaria de 20 unidades de DISJUNTOR 16a
28,quero 2 unidades de fita eletrica 19mm
29,"pode me cotar 25 metros de cabo 6, 50 unidades de chave paralelo e 10 unidades de ABRAÇADEIRA metalica"
30,pode me cotar 5 fita eletrica 19mm e 15 tomada industrial
31,"pode me cotar 50 unidades de TOMADA industrial, 25 metros de fio 2.5 e 1 disjuntor bipolar 16a"
32,gostaria de 5 unidades de interuptor duplo
33,vou precisar de 50 condulete pvc 3/4 e 5 INTERRUPTOR simples
34,pode me cotar 15 CONECTOR sindal
35,preciso de 25 unidades de condulete 1/2 e 25 unidades de lâmpada led 15w
36,"me manda 1 peças de INTERRUPTOR simples, 5 m de CABO FLEXIVEL 6 e 10 unidades de lâmpada led 20w"
37,"quero 20 unidades de CONECTOR borne, 2 peças de tomadas 2p+t e 5 metros de fio 4"
38,gostaria de 15 disjuntor bipolar 16a e 10 peças de ABRAÇADEIRA metalica
39,"preciso comprar 25 metros de cabo flexível 10, 25 m de tubo pvc pvc 3/4 e 25 unidades de fita preta 19mm"
40,me vende 10 unidades de ABRAÇADEIRA plastica
41,me manda 3 unidades de conectores sindal
42,preciso comprar 5 peças de LAMPADA LED 12w e 25 unidades de conectores sindal
43,quero 10 lampada 12w
44,me manda 1 peças de tomadas usb e 100 m de fio 2.5
45,preciso de 5 unidades de CONDULETE 3/4 e 3 unidades de TOMADA usb
46,vou precisar de 5 peças de condulete 1/2 e 5 peças de CONECTOR sindal
47,vou precisar de 25 unidades de led 9w
48,gostaria de 1 unidades de CONECTOR borne e 1 interruptor paralelo
49,"quero 20 tomadas industrial, 15 peças de condulete 1/2 e 10 metros de cabo 6"
50,quero 3 unidades de FITA ISOLANTE transparente e 10 interuptor simples
